"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 12 11:23:37 GMT 2025","Wed Feb 12 11:23:37 GMT 2025","232","","","","Tests","Test1","Test1",""
"passed","Wed Feb 12 11:23:37 GMT 2025","Wed Feb 12 11:23:37 GMT 2025","8","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
