"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 14 11:14:59 GMT 2024","Thu Nov 14 11:15:00 GMT 2024","247","","","","Tests","Test1","Test1",""
"passed","Thu Nov 14 11:14:59 GMT 2024","Thu Nov 14 11:14:59 GMT 2024","9","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
