"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 26 12:06:52 GMT 2025","Wed Feb 26 12:06:52 GMT 2025","232","","","","Tests","Test1","Test1",""
"passed","Wed Feb 26 12:06:52 GMT 2025","Wed Feb 26 12:06:52 GMT 2025","6","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
