"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 04 11:37:35 GMT 2024","Wed Dec 04 11:37:35 GMT 2024","155","","","","Tests","Test1","Test1",""
"passed","Wed Dec 04 11:37:35 GMT 2024","Wed Dec 04 11:37:35 GMT 2024","5","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
