"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 03 12:06:08 GMT 2025","Mon Feb 03 12:06:08 GMT 2025","6","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
"passed","Mon Feb 03 12:06:08 GMT 2025","Mon Feb 03 12:06:08 GMT 2025","222","","","","Tests","Test1","Test1",""
