"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","196","Test1","","Tue Oct 29 11:45:55 GMT 2024","passed","Tue Oct 29 11:45:55 GMT 2024","","","Tests","Test1"
"","5","TestVerificarIntervalo","","Tue Oct 29 11:45:55 GMT 2024","passed","Tue Oct 29 11:45:55 GMT 2024","","","IntervaloTest","TestVerificarIntervalo"
