"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 23 11:43:01 GMT 2024","Mon Dec 23 11:43:01 GMT 2024","231","","","","Tests","Test1","Test1",""
"passed","Mon Dec 23 11:43:01 GMT 2024","Mon Dec 23 11:43:01 GMT 2024","8","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
