"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 20 11:56:34 GMT 2025","Thu Mar 20 11:56:34 GMT 2025","227","","","","Tests","Test1","Test1",""
"passed","Thu Mar 20 11:56:34 GMT 2025","Thu Mar 20 11:56:34 GMT 2025","8","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
