"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 11:19:19 GMT 2025","Wed Mar 19 11:19:19 GMT 2025","237","","","","Tests","Test1","Test1",""
"passed","Wed Mar 19 11:19:19 GMT 2025","Wed Mar 19 11:19:19 GMT 2025","6","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
