"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 12 11:35:11 GMT 2025","Wed Mar 12 11:35:11 GMT 2025","203","","","","Tests","Test1","Test1",""
"passed","Wed Mar 12 11:35:11 GMT 2025","Wed Mar 12 11:35:11 GMT 2025","9","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
