"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 17 12:07:22 GMT 2025","Mon Feb 17 12:07:22 GMT 2025","269","","","","Tests","Test1","Test1",""
"passed","Mon Feb 17 12:07:22 GMT 2025","Mon Feb 17 12:07:22 GMT 2025","5","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
