"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 11:34:51 GMT 2025","Mon Feb 10 11:34:51 GMT 2025","220","","","","Tests","Test1","Test1",""
"passed","Mon Feb 10 11:34:51 GMT 2025","Mon Feb 10 11:34:51 GMT 2025","5","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
