"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 02 15:59:47 GMT 2025","Sun Feb 02 15:59:47 GMT 2025","230","","","","Tests","Test1","Test1",""
"passed","Sun Feb 02 15:59:47 GMT 2025","Sun Feb 02 15:59:47 GMT 2025","5","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
